school_id,school_name,imagery_date,solar_present,solar_present_confidence,solar_area_m2,solar_area_m2_confidence,portable_count,portable_count_confidence,fence_extent,fence_extent_confidence,fence_type,fence_type_confidence,track_present,track_present_confidence,sports_fields_count,sports_fields_count_confidence,hard_courts_count,hard_courts_count_confidence,pool_present,pool_present_confidence,review_required,failure_notes
390494903613,Adena Elementary School,2023-05-22,False,0.9,0.0,0.9,0,0.7,unmeasurable,0.1,unknown,0.1,False,0.7,1,0.7,0,0.7,False,0.7,True,Fence extent changed from none to unmeasurable because the visible perimeter was insufficient. | Campus boundary/feature ownership was not clearly observable.
390458502363,Ridgeview Elementary School,2017-06-17,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,0,0.7,1,0.7,False,0.9,True,Imagery is 9.2 years old; current facilities may differ. | Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
402277001928,EMERSON ALTERNATIVE ED. (HS),2023-06-19,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,0,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
401452000682,HILLDALE LOWER ES,2023-10-01,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,1,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
421917006915,Pittsburgh Brashear HS,2022-05-09,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,2,0.7,3,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
421929000163,Pleasant Valley El Sch,2022-04-29,False,0.9,0.0,0.9,0,0.7,unmeasurable,0.1,unknown,0.1,False,0.7,2,0.7,0,0.7,False,0.7,True,Fence extent changed from none to unmeasurable because the visible perimeter was insufficient. | Campus boundary/feature ownership was not clearly observable.
450387001491,India Hook Elementary,2023-04-11,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,1,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
481455000943,COLEMAN H S,2022-09-19,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,True,0.9,2,0.7,1,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
481623001325,PAUL L DUNBAR LEARNING CENTER,2022-07-04,False,0.9,0.0,0.9,0,0.9,partial,0.4,chain-link,0.4,False,0.9,0,0.7,1,0.7,False,0.9,True,
550957000382,Northside Intermediate,2022-06-24,False,0.9,0.0,0.9,0,0.9,none,0.4,unknown,0.1,False,0.9,2,0.7,0,0.7,False,0.9,True,Fence-absence observability capped at low because thin fencing may be unresolved in aerial imagery.
