school_id,school_name,resolved_latitude,resolved_longitude,campus_resolution_method,campus_review_required,campus_resolution_confidence,imagery_item,imagery_date,imagery_age_years,imagery_is_stale,stac_bbox_coverage_fraction,vlm_campus_coverage_visible,campus_boundary_observability,campus_boundary_ambiguity,black_pixel_fraction,tree_occlusion,overall_image_quality,model,prompt_version,prompt_tokens,output_tokens,thinking_tokens,billable_output_tokens,total_tokens,estimated_api_cost_usd,imagery_seconds,vlm_seconds,total_seconds,review_required
263039006679,Thompson Middle School,43.4324,-83.986401,ccd_reviewed,False,0.9,mi_m_4308333_sw_17_060_20220811,2022-08-11,4.06,False,1.0,1.0,medium,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8125,393,,393,8518,0.00262075,0.005479471001308411,7.661556605000442,7.91866875300002,True
270543000204,Bertha Secondary,46.263877,-95.062093,ccd_reviewed,False,0.9,mn_m_4609548_sw_15_030_20230726_20240201,2023-07-26,3.11,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8126,389,,389,8515,0.002615,0.00704018000033102,12.645194150998577,12.944573348000631,True
330246000063,Rundlett Middle School,43.189478,-71.543379,ccd_reviewed,False,0.9,nh_m_4307152_ne_19_030_20230831_20231113,2023-08-31,3.01,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8122,406,,406,8528,0.0026395000000000004,0.0052732639996975195,72.0872225009989,72.45815690900054,True
341560004108,Spring Lake Heights Elementary School,40.154128,-74.036948,ccd_reviewed,False,0.9,nj_m_4007456_se_18_030_20230809_20231019,2023-08-09,3.07,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8128,842,,842,8970,0.003295,0.07806994299971848,35.91548466799941,36.38475311900038,True
360008802312,PS 78 ANNE HUTCHINSON,40.8786,-73.8507,ccd_reviewed,False,0.9,ny_m_4007302_sw_18_060_20220915,2022-09-15,3.97,False,1.0,1.0,medium,True,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8133,384,,384,8517,0.00260925,0.0042992959988623625,4.974346044999038,5.159392270001263,True
390494903613,Adena Elementary School,39.315917,-84.385294,manual_review,False,0.95,oh_m_3908445_ne_17_030_20230522_20231018,2023-05-22,3.29,False,1.0,1.0,medium,True,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8122,386,,386,8508,0.0026095000000000003,0.043770234000476194,5.901823860998775,6.2550239140000485,True
390458502363,Ridgeview Elementary School,41.874048,-80.763807,ccd_reviewed,False,0.9,oh_m_4108010_ne_17_1_20170617_20171207,2017-06-17,9.21,True,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8123,416,,416,8539,0.00265475,0.028984839998884127,8.565469356999529,8.755686058999345,True
402277001928,EMERSON ALTERNATIVE ED. (HS),35.4747,-97.5221,ccd_reviewed,False,0.9,ok_m_3509736_ne_14_030_20230619_20230928,2023-06-19,3.21,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8130,359,,359,8489,0.002571,0.004847954000069876,9.331735585001297,9.702838490999056,True
401452000682,HILLDALE LOWER ES,35.710378,-95.370948,ccd_reviewed,False,0.9,ok_m_3509522_nw_15_030_20231001_20240104,2023-10-01,2.92,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8124,395,,395,8519,0.0026235,0.005508894999366021,24.660379331000513,25.045402777999698,True
421917006915,Pittsburgh Brashear HS,40.4186,-80.0181,ccd_reviewed,False,0.9,pa_m_4008040_se_17_060_20220509,2022-05-09,4.32,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8121,388,,388,8509,0.00261225,0.04165713399925153,6.613300910999897,6.7995891549999214,True
421929000163,Pleasant Valley El Sch,40.912699,-75.472289,ccd_reviewed,False,0.9,pa_m_4007505_sw_18_060_20220429,2022-04-29,4.35,False,1.0,1.0,medium,True,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8124,421,,421,8545,0.0026625,0.01447470300081477,4.64369878099933,4.860329753999395,True
450387001491,India Hook Elementary,35.003148,-81.022339,ccd_reviewed,False,0.9,sc_m_3508164_se_17_060_20230411_20230627,2023-04-11,3.4,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8123,375,,375,8498,0.00259325,0.038040790999730234,5.264115029000095,5.490166870000394,True
481455000943,COLEMAN H S,31.809203,-99.424587,ccd_reviewed,False,0.9,tx_m_3109913_se_14_060_20220919,2022-09-19,3.96,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8122,379,,379,8501,0.002599,0.007204667999758385,6.372340168998562,6.609770709001168,True
481623001325,PAUL L DUNBAR LEARNING CENTER,32.77488,-96.749203,ccd_reviewed,False,0.9,tx_m_3209611_sw_14_060_20220704,2022-07-04,4.17,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8126,378,,378,8504,0.0025985,0.0064548950012977,6.697347150000496,6.835636631998568,True
550957000382,Northside Intermediate,42.78247,-88.94737,ccd_reviewed,False,0.9,wi_m_4208809_sw_16_060_20220624,2022-06-24,4.19,False,1.0,1.0,high,False,0.0,low,good,gemini-3.1-flash-lite,2026-09-03-solar-roof-proof-v2,8121,402,,402,8523,0.00263325,0.007273541999893496,6.948458273000142,7.106205337999199,True
